ADM4_EN;ADM4_PCODE;ADM4_REF;ADM4ALT1_EN;ADM4ALT2_EN;ADM3_EN;ADM3_PCODE;ADM2_EN;ADM2_PCODE;ADM1_EN;ADM1_PCODE;ADM0_EN;ADM0_PCODE;DATE;VALIDON;VALIDTO;ADM1_ID;ADM2_ID;ADM3_ID;AREA_SQKM
60;ZA2930060;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;34,22959975
1;ZA4161001;;;;Letsemeng;ZA4161;Xhariep;ZA416;Free State;ZA4;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;FS;DC16;FS161;3011,644116
2;ZA4161002;;;;Letsemeng;ZA4161;Xhariep;ZA416;Free State;ZA4;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;FS;DC16;FS161;5,411508585
20;ZA5216020;;;;Ray Nkonyeni;ZA5216;Ugu;ZA521;KwaZulu-Natal;ZA5;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;KZN;DC21;KZN216;19,50240816
9;ZA2101009;;;;Dr Beyers Naude;ZA2101;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC101;267,1240086
10;ZA2101010;;;;Dr Beyers Naude;ZA2101;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC101;2394,750254
11;ZA2101011;;;;Dr Beyers Naude;ZA2101;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC101;8,933194058
12;ZA2101012;;;;Dr Beyers Naude;ZA2101;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC101;3808,041634
13;ZA2101013;;;;Dr Beyers Naude;ZA2101;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC101;3942,276752
12;ZA6405012;;;;Ventersdorp/Tlokwe;ZA6405;Dr Kenneth Kaunda;ZA640;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC40;NW405;2,920633066
13;ZA6405013;;;;Ventersdorp/Tlokwe;ZA6405;Dr Kenneth Kaunda;ZA640;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC40;NW405;1,898286653
14;ZA6405014;;;;Ventersdorp/Tlokwe;ZA6405;Dr Kenneth Kaunda;ZA640;North West;ZA6;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NW;DC40;NW405;0,859711954
26;ZA8316026;;;;Dr JS Moroka;ZA8316;Nkangala;ZA831;Mpumalanga;ZA8;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;MP;DC31;MP316;149,3469763
27;ZA8316027;;;;Dr JS Moroka;ZA8316;Nkangala;ZA831;Mpumalanga;ZA8;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;MP;DC31;MP316;26,2411977
28;ZA8316028;;;;Dr JS Moroka;ZA8316;Nkangala;ZA831;Mpumalanga;ZA8;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;MP;DC31;MP316;64,03706741
3;ZA4192003;;;;Dihlabeng;ZA4192;Thabo Mofutsanyane;ZA419;Free State;ZA4;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;FS;DC19;FS192;6,055887502
4;ZA4192004;;;;Dihlabeng;ZA4192;Thabo Mofutsanyane;ZA419;Free State;ZA4;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;FS;DC19;FS192;0,989486812
31;ZA2930031;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;5,205228813
32;ZA2930032;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;18,14588695
33;ZA2930033;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;6,054811737
9;ZA9343009;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;96,23529008
10;ZA9343010;;;;Thulamela;ZA9343;Vhembe;ZA934;Limpopo;ZA9;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;LIM;DC34;LIM343;51,86533765
